rStar,theta,re,im
39.2013,1.1759,1.78315e+228,7.97098e+226
39.2013,1.19345,4.36866e+227,1.95286e+226
39.2013,1.211,1.0703e+227,4.78443e+225
39.2013,1.22856,2.62218e+226,1.17216e+225
39.2013,1.24611,6.42415e+225,2.87171e+224
39.2013,1.26366,1.57387e+225,7.03546e+223
39.2013,1.28121,3.85584e+224,1.72363e+223
39.2013,1.29876,9.44643e+223,4.22272e+222
39.2013,1.31631,2.31428e+223,1.03452e+222
39.2013,1.33386,5.66972e+222,2.53446e+221
39.2013,1.35141,1.38902e+222,6.20914e+220
39.2013,1.36896,3.40292e+221,1.52116e+220
39.2013,1.38651,8.33671e+220,3.72665e+219
39.2013,1.40406,2.04238e+220,9.12979e+218
39.2013,1.42161,5.00355e+219,2.23667e+218
39.2013,1.43917,1.2258e+219,5.47953e+217
39.2013,1.45672,3.00303e+218,1.3424e+217
39.2013,1.47427,7.35697e+217,3.28869e+216
39.2013,1.49182,1.80235e+217,8.05681e+215
39.2013,1.50937,4.4157e+216,1.97389e+215
39.2013,1.52692,1.08268e+216,4.83975e+214
39.2013,1.54447,2.68901e+215,1.20203e+214
39.2013,1.56202,8.08269e+214,3.6131e+213
39.2013,1.57957,8.0827e+214,3.6131e+213
39.2013,1.59712,2.68901e+215,1.20203e+214
39.2013,1.61467,1.08268e+216,4.83975e+214
39.2013,1.63222,4.4157e+216,1.97389e+215
39.2013,1.64977,1.80235e+217,8.05682e+215
39.2013,1.66733,7.35697e+217,3.28869e+216
